transcription,conversation_no
"It's past eleven, let's go.",86
What?  Are you kidding me?  We just got here.  We miss it.  What's the point of coming down here if we just turn around and go home?,86
There is no point in coming down here.,86
Right.,86
That's my point.,86
That's my point too...No.  No.  That's not my point.  My point is what's the point if we come down here if we just turn around and leave?,86
So let's go.,86
"I mean, don't you want to see it?",86
Not particularly.,86
Why not?,86
I don't know.  I just don't.,86
"Honey, this is a natural phenomenon.  It only happens once a year.  I mean think about the people in Kansas, they would have to get hotel reservations and plane tickets to come and see this.  We're only forty minutes away.  This is too good to pass up.",86
"Pass up what?  These fish swim up to shore, on the beach and then they flop around a little, they swim away and then they die.",86
"Well this is like the highlight, the one night of their lives and that flopping around, that's laying eggs or spawning or mating or whatever you call it.",86
"But this is the big night for these guys.  Their last, life's last orgy.",86
"What are you getting so excited about?  I mean, it's not like it's like the landing on the moon or something.  I mean, it's just fish, fish that nobody eats.",86
Yeah they do.,86
Augie.,86
"Okay.  But it's fish that do something that no other fish do.  Like the swallows in Capistrano or the Lemmings that throw themselves off the cliffs, there's magic here and some mystery and a little bit of unexplainable.",86
"I mean, I can't see how you can not be interested.",86
I'm just not.,86
For real?,86
Yes.,86
"I don't get it.  I mean the first time we came to see it, you said it was the best night of your life.",86
And last year when we came you ran out of the house so fast you stubbed your toe and you didn't even notice it until we got in the car.,86
"You also could remember that I got sand in my panties, we got in an argument over nothing, you got a sore throat and we didn't even get to see the Grunions.",86
Okay.  We're in a good spot.,86
You didn't see them the first time either.,86
"We just weren't in the good spot.  This is a much better spot.  You know, I have a good instincts for these things.",86
"Look, is that...no is that just seaweed?",86
"You know, this is great isn't it?  You know, I wouldn't trade this for anything.",86
"I mean, think about this, I know you're not interested but just think about this for a minute.",86
"Somewhere out there, there's this huge silver mass of fish heading this way, they don't why, we don't know why, they just some little instinctual fire cracker went off in their bodies...",86
"...like and they all just turned at once and formed a line as long as the California coast and started swimming this way.  They didn't, you know, they didn't make a decision, they didn't, you know, have boats or anything.  No one sent them an invitation or a map, they just started swimming as if that's the only thing that matters.",86
"It's single mindedness with no mind.  It's urgency that's pure urge and they don't, they don't ask it a question, they don't give it a name, they just swim.",86
They just start swimming to this place right here where we stand for massive celebration of sex and death.,86
"Oh, I'm giving myself goose bumps.  Look, all my hairs are standing up.",86
That's the wind.,86
[BREATHING] So what do you think?,86
About what?,86
About what I just said?,86
It's ridiculous.,86
It certainly is not.  It's,86
So what do you think?,87
About what?,87
About what I just said?,87
It's ridiculous.,87
It certainly is not.  It's a slightly exaggerated scientific fact.,87
"It's PR.  I mean, somebody sold you a good bill about this wonderful event that going to happen on the beach.",87
I'm not the only one.  Look at all these people.,87
"Yeah.  Everyone else was sold the same thing.  I mean, look, it keeps us excited, it keeps us coming back for more and you know, keeps us thinking life's going to start any minute now.",87
Are we talking about the same thing?,87
"Look, I'm sorry but it's still just fish to me.",87
I thought you wanted to see it.,87
It's just...,87
"Look, we just have different ideas of what this night is supposed to be like.",87
"There's nothing to it.  The Grunions arrive, they do their little fish business, you know?  We go oh, ahh, look at the fish and they go home and we go home.",87
"For heavens sake, grow up.  We're not going to see the Grunions.",87
Why not?,87
"We never do, do we?  Have we ever?",87
"Oh my gosh.  We missed them twice, that's hardly ever.",87
Okay.  Twice is as many times as we've tried and that's ever.,87
"Carla, can I ask you something?",87
What?,87
"Don't take this wrong but, are you having your period?",87
"Augie, god dammit, don't ask me that.  You always ask me that.  I hate it when you ask me that.  It's insulting.",87
What's bugging you then?,87
"Look, it's pointless.  It's...we're not going to see the Grunions I mean, it's like waiting around to see Santa Claus, you know, it's...",87
"Listen, I've waiting my entire life on this beach just standing there waiting for this fish to show up and these fish never show up.",87
I thought you wanted to see it.,87
"God, you don't understand anything.",87
"No, of course not.",87
"I do.  I always do.  I keep thinking, this time will be the time and it never is.",87
"Well, we're going to see it.",87
"No we won't.  I mean, God, this isn't about the fish Augie.",87
"What...I've been trying to, I've been trying to figure out the point where we went wrong and I can't seem to pinpoint that moment.",87
"You were fine during the phone call with Marge, dinner was okay, doing the dishes was no problem.",87
"Let's see I took a shower, you were watching the news, you said hey, hey the Grunions are running tonight and I said great let's go, I feel lucky tonight.",87
"And then I'm putting the animals out in the yard, I'm pulling the car out of the garage, putting my jacket on.",87
"Look, do you remember the first time we came here?",87
We thought I was pregnant.,87
We brought a bottle of champagne and we took off our shoes and danced barefoot in the sand...,87
Under the moon and you whispered so softly into my ear so I could feel your words.,87
"And I thought, this is it.  This is how happy I'm supposed to be.",87
Wait a minute.  I've got it.,87
What?  Dancing barefoot in the sand?  Drinking out of a bottle of champagne?,87
It was in the car right?  Driving past the Knickerbocker Liquor Locker...,87
And you said let's get some champagne and I said time's a wasting or something like that.,87
You want this to be like the other time right?  That's it right?,87
I'd rather not remember something...,87
Rather not hope for something.,87
"Okay, right.  I got it.  Sure.  Of course.  Listen, do you want to dance?",87
No.,87
Do you want me to get some champagne?,87
No.,87
Take off our shoes?,87
No.,87
What?  Do you want me to breathe in your ear?,87
No.,87
Do you want to get married again? What? What?  Do you want a divorce? A vacation? What?  A carpet?  A poodle?  A basket of fruit?  What?  A suicide pact?  What the hell do you want Carla?,87
No...No...No...,87
No...,87
I want things to turn out the way that they're supposed to be.,87
Welcome to the human race.,87
Do you think that this is what I had in mind?  That four years down the line that we'd get married and come to the beach and argue with each other over fish?  No.,87
I was just like you.  I thought it was going to be all peaches and roses and everything great and the sand in our toes and the wind in our hair and the fish will always come and the bills will pay themselves and we'd have three big fat rosy kids...,87
